16,16,16,16,16,16,16
16,16,16,16,16,16,16
16,16,16,16,16,16,16
16,16,16,16,16,16,16
16,16,16,16,16,16,16
18,16,16,16,16,16,16
19,16,16,16,16,16,16
20,18,18,18,18,16,16
21,19,19,19,19,16,16
21,20,20,20,20,16,16
21,21,21,21,21,16,16
21,21,21,21,21,16,16
21,21,21,21,21,16,16
21,21,21,21,21,16,16
21,21,21,21,21,16,16
21,21,21,21,21,16,16
21,21,21,21,21,16,16
21,21,21,21,21,16,16
21,21,21,21,21,16,16
16,16,16,16,16,16,16
16,16,16,16,16,16,16
16,16,16,16,16,16,16
16,16,16,16,16,16,16
16,16,16,16,16,16,16
