time,pump,command
2023-11-09-10-06-31,2,1
2023-11-09-10-31-00,2,0
2023-11-09-10-36-00,2,1
2023-11-09-09-10-00,1,0
2023-11-09-10-39-31,2,0
2023-11-09-10-42-03,1,1
2023-11-09-10-42-03,2,1
2023-11-09-11-06-01,2,0
2023-11-09-12-15-31,2,1
2023-11-09-12-19-31,2,0
2023-11-09-12-20-00,2,1
2023-11-09-11-06-01,1,0
2023-11-09-12-58-31,2,0
2023-11-09-13-19-31,1,1
2023-11-09-13-19-31,2,1
2023-11-09-13-23-30,1,0
2023-11-09-13-23-30,2,0
2023-11-09-13-24-01,1,1
2023-11-09-13-24-01,2,1
2023-11-09-13-48-00,2,0
2023-11-09-13-39-00,1,0
2023-11-09-14-50-31,1,1
2023-11-09-14-54-01,1,0
2023-11-09-14-54-31,1,1
2023-11-09-14-58-01,1,0
2023-11-09-14-59-01,1,1
2023-11-09-15-02-30,1,0
2023-11-09-15-03-01,1,1
2023-11-09-15-06-31,1,0
2023-11-09-15-07-31,1,1
2023-11-09-15-11-00,1,0
2023-11-09-15-11-31,1,1
2023-11-09-15-15-01,1,0
2023-11-09-15-16-01,1,1
2023-11-09-15-19-31,1,0
2023-11-09-15-21-00,1,1
2023-11-09-15-24-31,1,0
2023-11-09-15-25-31,1,1
2023-11-09-15-29-00,1,0
2023-11-09-15-32-00,1,1
2023-11-09-15-35-31,1,0
2023-11-09-15-40-01,1,1
2023-11-09-14-32-01,2,0
2023-11-09-23-15-30,2,1
2023-11-09-23-17-32,2,1
2023-11-09-23-21-04,2,1
2023-11-09-15-43-30,1,0
2023-11-09-23-26-30,2,0
2023-11-10-06-24-01,1,1
2023-11-10-06-24-01,2,1
2023-11-10-06-27-31,1,0
2023-11-10-06-27-31,2,0
2023-11-10-06-30-01,1,1
2023-11-10-06-30-01,2,1
2023-11-10-06-33-31,1,0
2023-11-10-06-33-31,2,0
2023-11-10-06-35-31,1,1
2023-11-10-06-35-31,2,1
2023-11-10-06-39-01,1,0
2023-11-10-06-39-01,2,0
2023-11-10-06-43-02,1,1
2023-11-10-06-43-02,2,1
2023-11-10-06-46-30,1,0
2023-11-10-06-46-30,2,0
2023-11-10-06-53-31,1,1
2023-11-10-06-53-31,2,1
2023-11-10-06-57-01,1,0
2023-11-10-06-57-01,2,0
2023-11-10-06-59-31,1,1
2023-11-10-06-59-31,2,1
2023-11-10-07-03-00,1,0
2023-11-10-07-05-31,2,0
2023-11-10-07-35-31,1,1
2023-11-10-07-35-31,2,1
2023-11-10-07-39-00,1,0
2023-11-10-07-39-00,2,0
2023-11-10-07-39-31,1,1
2023-11-10-07-39-31,2,1
2023-11-10-07-43-00,1,0
2023-11-10-07-43-00,2,0
2023-11-10-07-45-01,1,1
2023-11-10-07-45-01,2,1
2023-11-10-07-48-31,1,0
2023-11-10-07-48-31,2,0
2023-11-10-07-49-31,1,1
2023-11-10-07-49-31,2,1
2023-11-10-07-53-00,1,0
2023-11-10-07-53-00,2,0
2023-11-10-07-55-02,1,1
2023-11-10-07-55-02,2,1
2023-11-10-07-58-31,1,0
2023-11-10-07-58-31,2,0
2023-11-10-07-59-01,1,1
2023-11-10-07-59-01,2,1
2023-11-10-08-02-30,1,0
2023-11-10-08-02-30,2,0
2023-11-10-08-05-31,1,1
2023-11-10-08-09-00,1,0
2023-11-10-08-10-01,1,1
2023-11-10-08-13-31,1,0
2023-11-10-08-14-31,1,1
2023-11-10-08-18-01,1,0
2023-11-10-08-18-31,1,1
2023-11-10-08-22-00,1,0
2023-11-10-08-22-30,1,1
2023-11-10-08-26-00,1,0
2023-11-10-08-26-30,1,1
2023-11-10-08-05-31,2,1
2023-11-10-08-30-00,1,0
2023-11-10-08-30-31,2,0
2023-11-10-08-30-31,1,1
2023-11-10-08-31-01,2,1
2023-11-10-08-34-01,1,0
2023-11-10-08-34-30,2,0
2023-11-10-08-34-31,1,1
2023-11-10-08-35-03,2,1
2023-11-10-08-38-03,1,0
2023-11-10-08-38-31,2,0
2023-11-10-08-39-01,1,1
2023-11-10-08-39-30,2,1
2023-11-10-08-42-30,1,0
2023-11-10-08-43-01,2,0
2023-11-10-08-43-01,1,1
2023-11-10-08-43-31,2,1
2023-11-10-08-46-31,1,0
2023-11-10-08-47-00,2,0
2023-11-10-08-47-31,1,1
2023-11-10-08-47-31,2,1
2023-11-10-08-51-01,1,0
2023-11-10-08-51-01,2,0
2023-11-10-08-51-31,1,1
2023-11-10-08-51-31,2,1
2023-11-10-08-55-01,1,0
2023-11-10-08-55-01,2,0
2023-11-10-08-55-31,1,1
2023-11-10-08-55-31,2,1
2023-11-10-08-59-00,1,0
2023-11-10-08-59-00,2,0
2023-11-10-08-59-31,1,1
2023-11-10-09-03-00,1,0
2023-11-10-09-03-30,1,1
2023-11-10-09-07-00,1,0
2023-11-10-09-07-30,1,1
2023-11-10-09-11-00,1,0
2023-11-10-09-11-31,1,1
2023-11-10-09-15-01,1,0
2023-11-10-09-15-31,1,1
2023-11-10-09-19-01,1,0
2023-11-10-09-19-31,1,1
2023-11-10-09-23-00,1,0
2023-11-10-09-23-30,1,1
2023-11-10-09-27-01,1,0
2023-11-10-09-28-01,1,1
2023-11-10-09-31-31,1,0
2023-11-10-09-32-01,1,1
2023-11-10-09-35-30,1,0
2023-11-10-09-36-01,1,1
2023-11-10-09-39-30,1,0
2023-11-10-09-40-00,1,1
2023-11-10-09-43-31,1,0
2023-11-10-09-44-31,1,1
2023-11-10-09-48-00,1,0
2023-11-10-09-48-31,1,0
2023-11-10-11-27-30,1,1
2023-11-10-13-20-32,1,1
2023-11-10-13-24-00,1,0
2023-11-10-13-24-31,1,1
2023-11-10-13-28-00,1,0
2023-11-10-13-29-00,1,0
2023-11-10-08-59-31,2,1
2023-11-10-16-27-14,1,1
2023-11-10-16-30-31,1,0
2023-11-10-16-27-14,2,1
2023-11-10-16-32-15,1,1
2023-11-10-16-32-31,1,0
2023-11-10-16-32-15,2,1
2023-11-10-16-35-41,1,0
2023-11-10-17-03-01,2,0
2023-11-10-17-35-32,1,1
2023-11-10-17-35-32,2,1
2023-11-10-17-37-32,1,1
