time,pump,command
2023-11-20-13-19-02,3,0
2023-11-21-09-00-03,3,1
2023-11-21-09-47-01,3,1
2023-11-21-09-49-01,3,1
2023-11-21-09-49-02,3,0
2023-11-21-09-51-01,3,0
2023-11-21-09-53-01,3,0
2023-11-21-07-00-03,2,1
2023-11-21-10-09-01,3,1
2023-11-21-08-52-02,1,0
2023-11-20-23-03-01,4,0
2023-11-21-11-16-06,2,1
2023-11-21-12-22-32,2,0
2023-11-21-11-19-05,1,0
2023-11-21-11-16-06,3,1
2023-11-21-15-30-32,2,1
2023-11-21-16-00-04,1,1
2023-11-21-23-03-05,1,0
2023-11-21-16-54-32,2,0
2023-11-21-16-03-04,3,0
2023-11-21-11-19-06,4,0
2023-11-21-23-20-34,2,0
2023-11-21-23-20-34,1,0
2023-11-22-07-00-05,2,1
2023-11-21-23-20-35,3,0
2023-11-21-23-20-35,4,0
2023-11-22-08-06-04,1,1
2023-11-22-08-06-04,2,1
2023-11-22-08-09-05,3,0
2023-11-22-08-09-05,4,0
2023-11-22-08-17-06,1,1
2023-11-22-08-17-06,2,1
2023-11-22-08-20-06,3,0
2023-11-22-08-20-06,4,0
2023-11-22-08-29-33,3,0
2023-11-22-09-00-03,3,1
2023-11-22-09-40-02,3,1
2023-11-22-09-42-02,3,0
2023-11-22-08-26-33,2,1
2023-11-22-09-43-32,3,0
2023-11-22-08-26-32,1,1
2023-11-22-10-03-02,3,1
2023-11-22-10-44-02,1,1
2023-11-22-09-52-02,2,0
2023-11-22-10-44-03,3,1
2023-11-22-08-29-33,4,0
2023-11-22-10-46-36,1,0
2023-11-22-10-46-36,3,0
2023-11-22-10-50-33,3,0
2023-11-22-11-14-03,3,1
2023-11-22-10-50-33,1,0
2023-11-22-10-46-36,2,0
2023-11-22-15-07-33,2,1
2023-11-22-15-00-02,1,1
2023-11-22-16-25-02,2,0
2023-11-22-14-27-33,3,0
2023-11-22-10-46-36,4,0
2023-11-22-16-34-06,1,1
2023-11-22-16-37-06,2,0
2023-11-22-16-37-06,3,0
2023-11-22-16-37-06,4,0
2023-11-22-18-55-05,1,1
2023-11-22-19-15-02,1,1
2023-11-22-18-58-05,2,0
2023-11-22-18-58-05,3,0
2023-11-22-18-58-05,4,0
2023-11-22-19-17-33,1,0
2023-11-22-19-21-03,1,0
2023-11-22-19-17-34,2,0
2023-11-22-19-17-34,3,0
2023-11-22-19-17-34,4,0
2023-11-22-19-24-36,1,0
2023-11-22-19-33-02,1,1
2023-11-22-19-24-36,2,0
2023-11-22-19-24-36,3,0
2023-11-22-19-24-36,4,0
2023-11-22-21-42-02,1,1
2023-11-22-21-47-00,1,1
2023-11-22-21-45-02,2,0
2023-11-22-21-45-02,3,0
2023-11-22-21-45-02,4,0
2023-11-22-21-49-34,1,0
2023-11-22-21-53-31,1,0
2023-11-22-22-14-02,1,1
2023-11-22-22-34-31,1,0
2023-11-22-21-49-34,2,0
2023-11-22-21-49-34,3,0
2023-11-22-21-49-34,4,0
2023-11-22-22-36-02,1,0
2023-11-22-22-36-02,2,0
2023-11-23-07-00-02,2,1
2023-11-22-22-36-02,3,0
2023-11-23-07-00-02,1,1
2023-11-23-09-00-02,3,1
2023-11-23-08-54-03,2,0
2023-11-23-09-26-32,3,0
2023-11-23-09-16-03,1,0
2023-11-23-10-00-03,2,1
2023-11-23-10-02-03,3,1
2023-11-23-11-10-02,1,1
2023-11-23-13-23-32,3,0
2023-11-23-14-51-02,3,1
2023-11-23-12-33-31,2,0
2023-11-23-15-29-33,3,1
2023-11-23-15-32-02,3,0
2023-11-23-13-42-02,1,0
2023-11-23-15-31-02,2,1
2023-11-23-15-52-02,2,1
2023-11-23-15-35-32,3,0
2023-11-22-22-36-02,4,0
2023-11-23-15-54-35,2,0
2023-11-23-15-58-32,2,0
2023-11-23-17-05-37,2,1
2023-11-23-15-51-35,1,1
2023-11-23-18-22-32,1,0
2023-11-23-22-24-02,1,1
2023-11-23-18-17-02,2,0
2023-11-23-23-03-02,1,0
2023-11-23-15-54-35,3,0
2023-11-24-09-00-02,3,1
2023-11-24-09-51-02,3,1
2023-11-24-09-53-32,3,0
2023-11-24-09-57-02,3,0
2023-11-24-10-12-02,3,1
2023-11-24-08-00-02,2,1
2023-11-24-09-00-02,1,1
2023-11-24-17-35-33,1,0
2023-11-24-19-00-02,1,0
2023-11-24-17-00-32,2,0
2023-11-24-16-03-02,3,0
2023-11-23-15-54-35,4,0
2023-11-24-19-00-03,1,1
2023-11-24-19-00-02,2,0
2023-11-24-19-00-02,3,0
2023-11-24-19-00-02,4,0
2023-11-24-19-00-32,1,1
2023-11-24-19-09-34,1,1
2023-11-24-19-10-02,1,1
2023-11-24-19-12-02,1,1
2023-11-24-19-00-33,2,0
2023-11-24-19-12-35,2,0
2023-11-24-19-00-33,3,0
2023-11-24-19-12-35,3,0
2023-11-24-19-00-33,4,0
2023-11-24-19-12-35,4,0
2023-11-24-19-13-02,2,0
2023-11-24-19-15-03,2,0
2023-11-24-19-13-02,3,0
2023-11-24-19-15-03,3,0
2023-11-24-19-13-02,4,0
2023-11-24-19-15-03,4,0
2023-11-24-19-12-32,1,1
2023-11-24-19-27-32,1,1
2023-11-24-19-15-32,2,0
2023-11-24-19-15-32,3,0
2023-11-24-19-15-32,4,0
2023-11-24-19-30-05,1,0
2023-11-24-19-30-05,2,0
2023-11-24-19-30-05,3,0
2023-11-24-19-30-05,4,0
2023-11-24-19-34-35,1,0
2023-11-24-19-34-35,2,0
2023-11-24-19-34-35,3,0
2023-11-24-19-34-36,4,0
2023-11-24-19-39-06,1,0
2023-11-24-19-39-06,2,0
2023-11-24-19-39-06,3,0
2023-11-24-19-39-06,4,0
2023-11-24-19-46-35,1,0
2023-11-24-19-46-35,2,0
2023-11-24-19-46-35,3,0
2023-11-24-19-46-35,4,0
2023-11-24-19-48-05,1,0
2023-11-24-19-59-02,1,1
2023-11-24-20-05-32,1,1
2023-11-24-20-06-24,1,1
2023-11-24-19-48-05,2,0
2023-11-24-19-48-05,3,0
2023-11-24-19-48-05,4,0
2023-11-24-20-08-05,2,0
2023-11-24-20-08-06,3,0
2023-11-24-20-08-06,4,0
2023-11-24-20-08-05,1,0
2023-11-24-20-12-02,1,0
2023-11-24-20-33-02,1,1
2023-11-24-21-07-32,1,0
2023-11-24-20-09-24,2,0
2023-11-24-20-09-24,3,0
2023-11-24-20-09-24,4,0
2023-11-24-21-33-03,1,0
2023-11-25-10-00-02,1,1
2023-11-24-21-33-03,2,0
2023-11-24-21-33-03,3,0
2023-11-24-21-33-03,4,0
2023-11-25-13-22-36,3,0
2023-11-25-14-00-02,3,1
2023-11-25-13-19-36,1,1
2023-11-25-20-34-33,1,1
2023-11-25-20-37-02,1,0
2023-11-25-20-40-32,1,0
2023-11-25-22-21-32,1,1
2023-11-25-23-03-02,1,0
2023-11-25-13-22-36,2,0
2023-11-25-14-27-03,3,0
2023-11-25-13-22-36,4,0
2023-11-26-01-00-32,1,0
2023-11-26-01-00-32,3,0
2023-11-26-10-00-01,1,1
2023-11-26-14-00-02,3,1
2023-11-26-01-00-32,2,0
2023-11-26-01-00-33,4,0
2023-11-26-15-54-35,2,0
2023-11-26-17-45-33,2,1
2023-11-26-15-51-35,3,1
2023-11-26-18-43-32,3,1
2023-11-26-18-46-02,3,0
2023-11-26-18-47-32,3,0
2023-11-26-20-58-02,3,1
2023-11-26-15-51-35,1,1
2023-11-26-18-36-02,2,0
2023-11-26-21-32-02,3,0
2023-11-26-23-03-02,1,0
2023-11-27-02-00-02,2,1
2023-11-27-09-00-02,3,1
2023-11-26-15-54-35,4,0
2023-11-27-11-45-08,3,1
2023-11-27-11-45-08,2,1
2023-11-27-13-26-02,2,1
2023-11-27-13-27-02,2,1
2023-11-27-13-28-02,2,0
2023-11-27-13-29-32,2,0
2023-11-27-12-06-32,3,0
2023-11-27-13-53-32,3,1
2023-11-27-14-45-02,3,1
2023-11-27-14-46-02,3,0
2023-11-27-13-31-32,2,0
2023-11-27-14-49-32,3,0
2023-11-27-15-50-32,3,1
2023-11-27-15-27-02,2,1
2023-11-27-11-48-09,4,0
2023-11-27-11-45-08,1,1
2023-11-27-18-00-02,4,1
2023-11-27-16-50-02,2,0
2023-11-27-23-03-02,1,0
2023-11-27-16-03-02,3,0
2023-11-28-08-54-32,1,1
2023-11-28-09-00-03,3,1
2023-11-28-13-38-32,3,1
2023-11-28-13-41-02,3,0
2023-11-28-13-41-03,3,1
2023-11-28-13-42-32,3,1
2023-11-28-13-42-32,3,0
2023-11-28-13-44-32,3,0
2023-11-28-08-00-03,2,1
2023-11-28-13-03-02,1,0
2023-11-28-13-46-02,3,0
2023-11-28-14-46-33,3,1
2023-11-28-14-00-02,1,1
2023-11-28-18-07-05,1,1
2023-11-28-13-58-02,2,0
2023-11-28-18-09-05,2,1
2023-11-28-16-03-02,3,0
2023-11-27-23-03-02,4,0
2023-11-28-18-10-06,3,0
2023-11-28-18-10-06,4,0
2023-11-28-18-10-05,2,0
2023-11-28-18-09-04,1,1
2023-11-28-19-05-02,2,0
2023-11-28-23-03-03,1,0
2023-11-29-06-28-02,1,1
2023-11-29-06-31-32,1,0
2023-11-29-06-33-33,1,1
2023-11-29-06-37-02,1,0
2023-11-29-06-39-32,1,1
2023-11-29-06-43-02,1,0
2023-11-29-06-46-33,1,1
2023-11-29-06-00-03,2,1
2023-11-29-06-52-32,2,0
2023-11-28-18-12-05,3,0
2023-11-29-06-50-02,1,0
2023-11-29-08-00-02,3,1
2023-11-29-08-33-32,3,1
2023-11-29-08-36-02,3,0
2023-11-29-08-37-32,3,0
2023-11-29-07-41-03,2,1
2023-11-29-09-00-03,3,1
2023-11-29-13-56-02,3,1
2023-11-29-13-58-33,3,0
2023-11-29-14-00-02,3,0
2023-11-29-13-11-02,2,0
2023-11-29-15-04-02,3,1
2023-11-28-18-12-05,4,0
2023-11-29-15-40-03,2,1
2023-11-29-17-01-02,2,1
2023-11-29-17-03-31,2,0
2023-11-29-17-00-02,4,1
2023-11-29-08-02-02,1,1
2023-11-29-17-07-02,2,0
2023-11-30-06-00-04,2,1
2023-11-30-06-45-34,2,0
2023-11-29-23-03-03,1,0
2023-11-29-16-03-03,3,0
2023-11-30-07-43-02,2,1
2023-11-30-09-00-03,3,1
2023-11-30-10-56-02,2,0
2023-11-30-11-47-02,3,0
2023-11-30-11-52-32,2,1
2023-11-30-12-30-02,3,1
2023-11-30-13-40-02,3,1
2023-11-30-13-41-32,3,1
2023-11-30-13-42-32,3,0
2023-11-30-13-43-33,3,0
2023-11-30-13-45-02,3,0
2023-11-30-13-11-33,2,0
2023-11-30-09-00-03,1,1
2023-11-30-14-39-02,2,1
2023-11-30-14-30-32,3,1
2023-11-29-21-03-07,4,0
2023-11-30-14-53-33,3,1
2023-11-30-14-53-33,2,1
2023-11-30-16-13-02,2,0
2023-11-30-16-03-03,3,0
2023-11-30-14-53-32,1,1
2023-11-30-18-33-02,3,1
2023-11-30-14-56-33,4,0
2023-11-30-18-35-05,3,0
2023-11-30-18-37-03,3,1
2023-11-30-18-32-05,2,1
2023-11-30-18-39-02,3,0
2023-11-30-18-43-04,3,0
2023-11-30-18-35-05,1,0
2023-11-30-18-35-05,4,0
2023-11-30-18-40-32,2,1
2023-11-30-18-43-32,3,0
2023-11-30-19-57-02,3,1
2023-11-30-18-43-32,1,0
2023-11-30-19-03-03,2,0
2023-11-30-20-19-02,3,0
2023-11-30-18-43-32,4,0
2023-11-30-21-28-05,1,0
2023-11-30-22-14-02,1,1
2023-11-30-21-28-06,2,0
2023-12-01-07-00-02,2,1
2023-11-30-23-03-02,1,0
2023-12-01-08-51-32,1,1
2023-11-30-21-28-06,3,0
2023-11-30-21-28-06,4,0
2023-12-01-08-53-35,3,0
2023-12-01-08-53-35,1,1
2023-12-01-08-50-35,2,1
2023-12-01-09-00-02,3,1
2023-12-01-08-53-35,4,0
2023-12-01-09-12-02,2,1
2023-12-01-09-12-02,3,1
2023-12-01-13-20-31,3,1
2023-12-01-13-21-32,3,1
2023-12-01-13-22-33,3,0
2023-12-01-13-24-02,3,0
2023-12-01-12-06-04,2,0
2023-12-01-13-25-31,3,0
2023-12-01-13-53-32,2,1
2023-12-01-14-15-02,3,1
2023-12-01-14-55-03,2,0
2023-12-01-16-31-02,2,1
2023-12-01-17-41-32,2,0
2023-12-01-16-03-02,3,0
2023-12-01-18-43-33,2,1
2023-12-01-18-45-32,3,1
2023-12-01-09-12-02,1,1
2023-12-01-19-03-03,2,0
2023-12-01-19-19-32,3,0
2023-12-01-09-15-03,4,0
2023-12-01-20-16-03,1,0
2023-12-01-22-00-03,1,1
2023-12-01-23-03-03,1,0
2023-12-01-20-16-03,2,0
2023-12-02-11-35-32,2,1
2023-12-01-20-16-03,3,0
2023-12-02-14-00-03,3,1
2023-12-02-10-00-03,1,1
2023-12-02-15-27-03,3,0
2023-12-02-16-29-33,3,1
2023-12-02-12-10-03,2,0
2023-12-02-16-20-33,1,0
2023-12-02-17-23-32,2,1
2023-12-02-17-16-03,3,0
2023-12-02-19-29-03,3,1
2023-12-02-19-52-03,3,0
2023-12-02-22-19-32,3,1
2023-12-02-17-39-33,1,1
2023-12-02-23-04-33,1,0
2023-12-03-04-39-03,1,1
2023-12-03-05-27-32,1,0
2023-12-03-07-46-03,1,1
2023-12-03-08-31-32,1,0
2023-12-02-18-01-03,2,0
2023-12-03-10-00-04,2,1
2023-12-03-10-39-04,2,0
2023-12-03-11-44-04,2,1
2023-12-02-22-47-32,3,0
2023-12-03-12-29-32,2,0
2023-12-03-14-34-03,2,1
2023-12-03-14-00-04,3,1
2023-12-03-16-34-32,3,1
2023-12-03-16-36-32,3,1
2023-12-03-16-37-03,3,0
2023-12-03-16-39-04,3,0
2023-12-03-15-17-04,2,0
2023-12-03-16-40-32,3,0
2023-12-03-17-38-32,2,1
2023-12-03-17-49-32,3,1
2023-12-03-18-24-04,3,0
2023-12-03-19-35-36,3,1
2023-12-03-20-11-04,3,0
2023-12-03-21-40-04,3,1
2023-12-03-10-00-04,1,1
2023-12-03-18-16-04,2,0
2023-12-04-01-00-04,2,1
2023-12-04-01-35-31,2,0
2023-12-04-02-50-04,2,1
2023-12-03-23-03-04,1,0
2023-12-04-03-49-32,1,1
2023-12-04-04-31-04,1,0
2023-12-04-03-32-04,2,0
2023-12-04-05-19-32,2,1
2023-12-04-05-59-04,2,0
2023-12-03-22-18-04,3,0
2023-12-04-05-18-04,1,1
2023-12-04-08-00-04,3,1
2023-12-04-13-37-31,1,0
2023-12-04-13-49-32,3,0
2023-12-04-06-53-04,2,1
2023-12-04-14-51-05,3,1
2023-12-04-15-32-04,2,0
2023-12-01-20-16-03,4,0
2023-12-04-16-03-05,3,0
2023-12-04-17-33-32,2,1
2023-12-04-19-02-05,3,1
2023-12-04-19-27-05,3,0
2023-12-04-22-06-32,3,1
2023-12-04-14-51-05,1,1
2023-12-04-18-00-05,4,1
2023-12-04-19-03-04,2,0
2023-12-05-05-00-03,2,1
2023-12-05-05-34-04,2,0
2023-12-04-23-03-05,1,0
2023-12-04-22-38-05,3,0
2023-12-05-08-00-05,3,1
2023-12-05-08-26-05,3,0
2023-12-05-06-42-05,2,1
2023-12-05-11-03-32,2,1
2023-12-05-11-06-04,2,0
2023-12-05-07-00-05,1,1
2023-12-05-09-00-05,3,1
2023-12-05-13-39-32,1,1
2023-12-05-11-07-04,2,0
2023-12-05-13-39-32,3,1
2023-12-04-23-03-05,4,0
2023-12-05-13-42-05,2,0
2023-12-05-13-42-05,1,0
2023-12-05-13-42-05,3,0
2023-12-05-13-46-02,1,0
2023-12-05-13-46-02,3,0
2023-12-05-13-45-03,2,1
2023-12-05-14-38-03,2,1
2023-12-05-14-40-33,2,0
2023-12-05-14-14-32,3,1
2023-12-05-15-20-03,3,1
2023-12-05-15-21-31,3,0
2023-12-05-15-21-32,3,1
2023-12-05-15-23-02,3,1
2023-12-05-15-23-32,3,0
2023-12-05-15-25-32,3,0
2023-12-05-14-41-32,2,0
2023-12-05-15-26-33,3,0
2023-12-05-17-38-32,3,1
2023-12-05-16-27-32,2,1
2023-12-05-18-14-32,3,0
2023-12-05-14-12-02,1,1
2023-12-05-19-31-02,3,1
2023-12-05-18-23-02,2,0
2023-12-05-23-03-02,1,0
2023-12-06-06-00-02,2,1
2023-12-06-08-00-02,2,0
2023-12-05-23-03-02,3,0
2023-12-06-08-00-03,2,1
2023-12-06-12-02-32,2,1
2023-12-06-12-05-02,2,0
2023-12-06-12-09-02,2,0
2023-12-06-07-00-02,1,1
2023-12-06-08-00-03,3,1
2023-12-06-13-46-32,1,1
2023-12-06-13-46-32,3,1
2023-12-05-13-42-05,4,0
2023-12-06-13-59-38,2,1
2023-12-06-14-12-37,2,1
2023-12-06-14-02-38,1,0
2023-12-06-14-02-38,3,0
2023-12-06-14-02-39,4,0
2023-12-06-14-15-36,1,0
2023-12-06-14-15-37,3,0
2023-12-06-14-15-38,4,0
2023-12-06-14-17-36,3,0
2023-12-06-14-17-35,1,0
2023-12-06-14-14-36,2,1
2023-12-06-14-20-02,3,1
2023-12-06-15-08-02,2,0
2023-12-06-16-03-03,3,0
2023-12-06-17-46-02,3,1
2023-12-06-16-39-02,2,1
2023-12-06-18-40-32,2,1
2023-12-06-18-41-32,2,1
2023-12-06-18-43-02,2,0
2023-12-06-18-44-02,2,0
2023-12-06-14-22-02,1,1
2023-12-06-18-45-32,2,0
2023-12-07-05-56-32,2,1
2023-12-06-22-42-02,1,0
2023-12-07-06-56-32,2,0
2023-12-06-18-34-32,3,0
2023-12-07-08-00-02,3,1
2023-12-07-08-26-32,3,0
2023-12-07-07-10-33,2,1
2023-12-07-07-00-02,1,1
2023-12-07-09-00-03,3,1
2023-12-07-14-59-03,1,1
2023-12-07-14-59-03,3,1
2023-12-06-14-17-36,4,0
2023-12-07-15-01-35,1,0
2023-12-07-15-01-36,3,0
2023-12-07-14-58-36,2,1
2023-12-07-15-05-32,3,0
2023-12-07-15-05-32,1,0
2023-12-07-15-08-02,2,0
2023-12-07-15-16-32,3,1
2023-12-07-16-54-32,3,1
2023-12-07-16-56-02,3,0
2023-12-07-16-07-03,2,1
2023-12-07-15-47-33,1,1
2023-12-07-18-02-32,2,0
2023-12-08-07-00-02,2,1
2023-12-07-23-03-03,1,0
2023-12-07-16-58-03,3,0
2023-12-08-08-28-32,3,1
2023-12-08-07-59-03,2,0
2023-12-08-08-49-32,3,0
2023-12-08-09-00-02,3,1
2023-12-08-13-00-32,3,1
2023-12-08-13-02-32,3,1
2023-12-08-13-03-03,3,0
2023-12-08-13-04-02,3,0
2023-12-08-08-59-02,2,1
2023-12-08-13-06-02,3,0
2023-12-08-13-21-03,2,0
2023-12-08-13-53-33,3,1
2023-12-08-14-45-32,3,1
2023-12-08-14-48-02,3,0
2023-12-08-14-21-02,2,1
2023-12-08-14-49-33,3,0
2023-12-08-15-34-03,3,1
2023-12-08-15-15-03,2,0
2023-12-08-17-04-03,2,1
2023-12-08-08-00-03,1,1
2023-12-08-19-27-02,1,0
2023-12-08-19-39-03,1,1
2023-12-08-17-49-32,2,0
2023-12-08-16-33-03,3,0
2023-12-07-15-01-36,4,0
2023-12-08-19-41-35,1,1
2023-12-08-19-52-32,1,0
2023-12-08-19-53-32,1,1
2023-12-08-19-58-02,1,0
2023-12-08-20-40-33,1,1
2023-12-08-20-54-32,1,1
2023-12-08-20-56-32,1,0
2023-12-08-20-57-33,1,1
2023-12-08-20-58-33,1,0
2023-12-08-20-59-02,1,1
2023-12-08-21-00-33,1,1
2023-12-08-21-01-33,1,0
2023-12-08-21-03-03,1,0
2023-12-08-21-10-03,1,0
2023-12-08-21-42-33,1,1
2023-12-08-21-51-03,1,0
2023-12-08-21-51-33,1,1
2023-12-08-21-56-02,1,0
2023-12-08-22-31-03,1,1
2023-12-08-23-03-02,1,0
2023-12-09-08-13-02,1,1
2023-12-08-19-44-35,2,0
2023-12-09-11-00-02,2,1
2023-12-09-08-57-32,1,0
2023-12-09-12-23-02,1,1
2023-12-09-11-40-33,2,0
2023-12-08-19-44-35,3,0
2023-12-08-19-44-36,4,0
2023-12-09-13-42-10,3,0
2023-12-09-13-42-09,1,0
2023-12-09-14-33-02,1,1
2023-12-09-14-38-03,1,1
2023-12-09-14-39-32,1,1
2023-12-09-14-49-32,1,0
2023-12-09-14-53-03,1,1
2023-12-09-14-55-02,1,1
2023-12-09-14-57-32,1,1
2023-12-09-14-57-33,1,0
2023-12-09-14-59-02,1,1
2023-12-09-14-00-02,3,1
2023-12-09-14-59-02,1,0
2023-12-09-15-01-33,1,0
2023-12-09-15-02-02,1,1
2023-12-09-15-04-32,1,0
2023-12-09-15-06-02,1,0
2023-12-09-15-06-32,1,1
2023-12-09-15-09-33,1,1
2023-12-09-15-11-02,1,0
2023-12-09-15-13-32,1,1
2023-12-09-15-14-04,1,0
2023-12-09-15-19-02,1,0
2023-12-09-15-22-32,1,1
2023-12-09-15-27-03,1,1
2023-12-09-15-28-02,1,0
2023-12-09-15-29-02,1,1
2023-12-09-15-31-32,1,0
2023-12-09-15-34-03,1,1
2023-12-09-15-36-02,1,1
2023-12-09-15-36-03,1,0
2023-12-09-15-38-02,1,0
2023-12-09-15-42-02,1,1
2023-12-09-15-42-02,1,0
2023-12-09-15-49-02,1,0
2023-12-09-15-52-32,1,1
2023-12-09-15-54-33,1,1
2023-12-09-15-56-32,1,0
2023-12-09-16-00-32,1,0
2023-12-09-16-02-33,1,1
2023-12-09-16-08-32,1,1
2023-12-09-16-08-32,1,0
2023-12-09-16-10-33,1,1
2023-12-09-16-13-02,1,0
2023-12-09-16-14-02,1,1
2023-12-09-16-14-32,1,0
2023-12-09-16-19-33,1,1
2023-12-09-16-22-02,1,0
2023-12-09-16-34-32,1,0
2023-12-09-16-37-02,1,1
2023-12-09-16-39-32,1,1
2023-12-09-16-41-02,1,0
2023-12-09-16-47-32,1,1
2023-12-09-16-49-03,1,0
2023-12-09-16-51-32,1,1
2023-12-09-16-52-03,1,0
2023-12-09-16-54-32,1,1
2023-12-09-16-56-03,1,0
2023-12-09-16-59-33,1,0
2023-12-09-17-00-33,1,1
2023-12-09-17-17-33,1,0
2023-12-09-13-42-09,2,0
2023-12-09-17-18-03,1,1
2023-12-09-17-29-33,1,1
2023-12-09-17-31-32,1,0
2023-12-09-17-42-02,1,1
2023-12-09-17-44-33,1,0
2023-12-09-17-56-03,1,1
2023-12-09-17-24-32,2,1
2023-12-09-17-58-32,1,0
2023-12-09-18-09-33,1,1
2023-12-09-18-11-33,1,0
2023-12-09-18-27-32,1,1
2023-12-09-18-28-42,1,0
2023-12-09-18-38-03,1,1
2023-12-09-18-40-03,1,0
2023-12-09-18-46-02,1,0
2023-12-09-18-46-33,1,1
2023-12-09-18-49-02,1,1
2023-12-09-15-00-05,3,0
2023-12-09-18-51-33,1,0
2023-12-09-18-55-02,1,0
2023-12-09-18-56-33,1,1
2023-12-09-19-04-03,1,1
2023-12-09-19-05-32,1,0
2023-12-09-19-10-32,1,1
2023-12-09-19-11-32,1,0
2023-12-09-19-14-32,1,0
2023-12-09-19-25-02,1,1
2023-12-09-19-31-02,1,0
2023-12-09-19-40-32,1,1
2023-12-09-19-44-34,1,1
2023-12-09-18-54-02,3,1
2023-12-09-19-47-02,1,0
2023-12-09-18-05-02,2,0
2023-12-10-01-03-02,3,0
2023-12-09-13-42-10,4,0
2023-12-10-03-47-36,1,1
2023-12-10-12-30-38,1,0
2023-12-10-03-50-36,2,0
2023-12-10-03-50-36,3,0
2023-12-10-03-50-36,4,0
2023-12-10-12-31-03,1,1
2023-12-10-12-34-32,1,1
2023-12-10-12-30-38,2,0
2023-12-10-12-36-03,1,0
2023-12-10-12-46-02,1,1
2023-12-10-12-48-02,1,0
2023-12-10-12-52-32,1,1
2023-12-10-12-54-32,1,0
2023-12-10-12-57-32,1,0
2023-12-10-13-00-03,1,1
2023-12-10-13-05-32,1,0
2023-12-10-13-10-03,1,1
2023-12-10-13-20-03,1,1
2023-12-10-13-20-03,1,0
2023-12-10-13-22-34,1,1
2023-12-10-12-37-03,2,1
2023-12-10-13-24-33,1,0
2023-12-10-13-34-32,1,1
2023-12-10-13-35-33,1,0
2023-12-10-13-46-02,1,0
2023-12-10-13-47-03,1,1
2023-12-10-13-48-32,1,1
2023-12-10-13-51-02,1,0
2023-12-10-13-59-32,1,1
2023-12-10-14-01-32,1,0
2023-12-10-14-04-02,1,0
2023-12-10-14-06-33,1,1
2023-12-10-14-11-02,1,0
2023-12-10-14-33-32,1,1
2023-12-10-14-38-32,1,0
2023-12-10-14-50-02,1,1
2023-12-10-14-52-02,1,1
2023-12-10-14-54-03,1,0
2023-12-10-14-56-33,1,1
2023-12-10-14-58-32,1,0
2023-12-10-15-01-32,1,0
2023-12-10-15-33-03,1,1
2023-12-10-15-43-32,1,1
2023-12-10-15-43-33,1,0
2023-12-10-15-48-04,1,0
2023-12-10-15-51-03,1,1
2023-12-10-15-57-32,1,1
2023-12-10-15-59-03,1,0
2023-12-10-16-03-33,1,1
2023-12-10-16-04-34,1,0
2023-12-10-16-08-02,1,1
2023-12-10-13-33-02,2,0
2023-12-10-16-10-32,1,0
2023-12-10-16-16-32,1,0
2023-12-10-16-16-38,1,1
2023-12-10-16-26-33,1,1
2023-12-10-16-28-02,1,0
2023-12-10-16-30-33,1,1
2023-12-10-16-31-02,1,0
2023-12-10-16-14-32,2,1
2023-12-10-16-41-02,1,0
2023-12-10-16-52-02,1,1
2023-12-10-16-56-33,1,0
2023-12-10-16-57-37,1,1
2023-12-10-17-01-32,1,0
2023-12-10-17-02-32,1,1
2023-12-10-17-07-02,1,0
2023-12-10-17-10-03,1,1
2023-12-10-17-15-02,1,1
2023-12-10-17-16-03,1,0
2023-12-10-17-18-32,1,1
2023-12-10-17-19-03,1,0
2023-12-10-17-31-03,1,0
2023-12-10-17-44-32,1,1
2023-12-10-17-49-32,1,0
2023-12-10-18-06-33,1,1
2023-12-10-18-23-32,1,1
2023-12-10-18-25-34,1,1
2023-12-10-18-26-03,1,0
2023-12-10-18-28-03,1,0
2023-12-10-18-33-03,1,0
2023-12-10-18-36-03,1,1
2023-12-10-18-37-32,1,1
2023-12-10-18-40-02,1,1
2023-12-10-18-40-02,1,0
2023-12-10-18-41-32,1,0
2023-12-10-18-44-32,1,0
2023-12-10-18-45-02,1,1
2023-12-10-18-52-32,1,1
2023-12-10-18-55-02,1,0
2023-12-10-19-00-33,1,0
2023-12-10-19-18-33,1,1
2023-12-10-19-59-03,1,0
2023-12-10-16-51-33,2,0
2023-12-10-12-30-38,3,0
2023-12-10-12-30-39,4,0
2023-12-10-20-33-39,1,1
2023-12-10-20-36-39,2,0
2023-12-10-20-36-39,3,0
2023-12-10-20-36-39,4,0
2023-12-10-20-38-38,1,1
2023-12-10-20-41-38,2,0
2023-12-10-20-41-38,3,0
2023-12-10-20-41-39,4,0
2023-12-10-21-07-34,2,0
2023-12-11-02-00-02,2,1
2023-12-11-02-44-32,2,0
2023-12-10-21-07-34,3,0
2023-12-11-09-00-03,3,1
2023-12-11-15-16-07,3,1
2023-12-11-05-27-02,2,1
2023-12-10-21-04-33,1,1
2023-12-11-15-18-02,2,1
2023-12-10-21-07-34,4,0
2023-12-11-15-19-06,1,0
2023-12-11-15-19-06,2,0
2023-12-11-15-19-07,4,0
2023-12-11-15-20-37,2,0
2023-12-11-15-23-02,2,0
2023-12-11-15-17-37,3,1
2023-12-11-16-58-02,3,1
2023-12-11-17-00-33,3,0
2023-12-11-15-20-37,4,0
2023-12-11-15-44-03,2,1
2023-12-11-17-03-02,3,0
2023-12-11-19-08-03,3,1
2023-12-11-19-58-03,3,1
2023-12-11-19-59-02,3,0
2023-12-11-15-20-36,1,0
2023-12-11-18-00-02,4,1
