time,pump,command
2024-03-12-19-57-46,1,1
2024-03-12-19-28-14,2,0
2024-03-12-19-28-14,3,0
2024-03-12-19-28-14,4,0
2024-03-12-20-00-46,2,0
2024-03-12-20-00-46,3,0
2024-03-12-20-00-46,4,0
