time,command
2023-12-23-17-53-04,1
2023-12-23-17-54-05,0
2023-12-23-18-00-09,1
2023-12-23-22-20-42,0
2023-12-23-23-43-11,1
2023-12-24-01-00-07,0
2023-12-24-10-05-34,1
2023-12-24-10-06-11,0
2023-12-24-10-11-42,1
2023-12-24-10-12-08,0
2023-12-24-10-16-03,1
2023-12-24-10-16-41,0
2023-12-24-10-20-37,1
2023-12-24-10-21-02,0
2023-12-24-10-24-42,1
2023-12-24-10-25-08,0
2023-12-24-10-28-38,1
2023-12-24-10-29-04,0
2023-12-24-10-32-37,1
2023-12-24-10-33-03,0
2023-12-24-10-36-43,1
2023-12-24-10-37-09,0
2023-12-24-10-40-39,1
2023-12-24-10-41-05,0
2023-12-24-10-44-39,1
2023-12-24-10-45-07,0
2023-12-24-10-49-05,1
2023-12-24-10-49-42,0
2023-12-24-10-53-35,1
2023-12-24-10-54-13,0
2023-12-24-10-58-09,1
2023-12-24-10-58-39,0
2023-12-25-19-59-12,1
2023-12-25-20-00-33,0
2023-12-25-20-01-09,1
2023-12-25-20-42-38,1
2023-12-26-08-45-41,0
2023-12-27-07-08-10,1
2023-12-27-22-37-36,0
2023-12-28-08-00-05,1
2023-12-28-08-40-09,0
2023-12-28-09-00-10,1
2023-12-28-21-43-11,0
2023-12-28-21-44-37,1
2023-12-28-21-47-11,0
2023-12-28-23-49-38,1
2023-12-29-00-27-36,0
2023-12-29-08-49-40,1
2023-12-29-21-50-12,0
2023-12-30-14-00-08,1
2023-12-30-14-32-41,1
2023-12-30-15-40-13,0
2023-12-30-17-00-09,1
2023-12-30-21-29-37,0
2023-12-30-22-10-12,1
2023-12-30-22-43-36,0
2023-12-30-23-24-38,1
2023-12-30-23-56-12,0
2023-12-31-11-00-09,1
2023-12-31-11-27-11,0
2023-12-31-14-00-12,1
2023-12-31-15-38-10,0
2024-01-02-14-10-41,1
2024-01-02-14-33-45,1
2024-01-02-20-43-15,1
2024-01-02-23-00-09,0
2024-01-03-00-00-07,1
2024-01-04-00-11-07,0
2024-01-04-07-00-04,1
2024-01-04-23-34-11,0
2024-01-05-07-00-03,1
2024-01-05-10-30-12,1
2024-01-05-19-04-16,1
2024-01-05-23-00-11,0
2024-01-06-00-06-12,1
2024-01-06-01-09-06,0
2024-01-06-01-09-43,1
2024-01-06-01-10-35,0
2024-01-06-09-00-10,1
2024-01-06-18-53-42,1
2024-01-06-23-53-08,0
2024-01-07-10-00-10,1
2024-01-07-12-55-12,0
2024-01-07-14-00-08,1
2024-01-07-20-13-40,0
2024-01-07-21-23-10,1
2024-01-07-22-09-36,0
2024-01-08-00-00-05,1
2024-01-08-03-42-41,0
2024-01-08-04-00-05,1
2024-01-08-12-50-10,1
2024-01-08-23-00-11,0
2024-01-09-05-00-09,1
2024-01-09-23-00-06,0
2024-01-10-04-47-34,1
2024-01-10-20-00-11,0
2024-01-10-22-21-11,1
2024-01-10-23-00-06,0
2024-01-11-04-59-08,1
2024-01-11-12-22-46,1
2024-01-11-20-34-09,1
2024-01-11-22-12-09,0
2024-01-12-00-37-35,1
2024-01-12-01-00-08,0
2024-01-12-05-00-04,1
2024-01-12-05-56-08,0
2024-01-12-06-52-37,1
2024-01-12-23-00-08,0
2024-01-13-10-43-11,1
2024-01-13-10-51-10,0
2024-01-13-13-00-08,1
2024-01-13-13-42-13,0
2024-01-13-13-42-38,1
2024-01-13-13-43-06,0
2024-01-13-13-43-45,1
2024-01-13-13-46-06,0
2024-01-13-14-00-15,1
2024-01-13-21-34-13,0
2024-01-13-21-52-38,1
2024-01-13-22-20-03,0
2024-01-14-02-39-03,1
2024-01-14-03-35-38,0
2024-01-14-03-36-39,1
2024-01-14-03-38-09,0
2024-01-14-06-48-35,1
2024-01-14-08-12-08,0
2024-01-14-08-12-34,1
2024-01-14-08-14-11,0
2024-01-14-10-00-11,1
2024-01-14-10-36-12,0
2024-01-14-11-58-38,1
2024-01-14-12-41-36,0
2024-01-14-13-19-36,1
2024-01-14-23-00-11,0
2024-01-15-01-00-13,1
2024-01-15-03-27-35,0
2024-01-15-04-00-04,1
2024-01-15-23-00-06,0
2024-01-16-09-55-54,1
2024-01-16-10-02-16,1
2024-01-16-10-06-14,1
2024-01-16-19-18-16,1
2024-01-16-19-18-14,1
2024-01-16-20-05-10,1
2024-01-16-20-09-10,1
2024-01-16-21-10-16,1
2024-01-16-21-21-07,1
2024-01-16-21-28-09,1
2024-01-16-21-38-09,1
2024-01-16-21-58-15,1
2024-01-16-22-20-10,1
2024-01-16-21-33-15,1
2024-01-16-23-00-08,0
2024-01-17-03-10-07,1
2024-01-17-10-22-11,1
2024-01-17-23-00-11,0
2024-01-18-02-42-37,1
2024-01-18-04-58-36,0
2024-01-18-05-00-06,1
2024-01-18-20-59-37,0
2024-01-18-21-00-03,1
2024-01-18-21-03-02,0
2024-01-18-21-08-12,1
2024-01-18-22-36-12,0
2024-01-18-23-07-02,1
2024-01-18-23-57-02,0
2024-01-19-05-00-12,1
2024-01-19-23-19-13,0
2024-01-19-23-20-04,1
2024-01-19-23-21-07,0
2024-01-19-23-22-11,1
2024-01-19-23-23-13,0
2024-01-20-02-53-43,1
2024-01-20-03-00-07,0
2024-01-20-06-16-04,1
2024-01-21-00-52-12,0
2024-01-21-00-58-40,1
2024-01-21-01-00-10,0
2024-01-21-03-43-36,1
2024-01-21-05-11-05,0
2024-01-21-09-00-10,1
2024-01-21-09-54-02,0
2024-01-21-11-00-12,1
2024-01-21-11-42-11,0
2024-01-21-12-10-03,1
2024-01-21-12-35-06,0
2024-01-21-14-00-04,1
2024-01-21-23-00-09,0
2024-01-22-00-00-05,1
2024-01-22-23-00-11,0
2024-01-23-01-20-15,1
2024-01-23-19-45-49,1
2024-01-24-00-36-41,0
2024-01-24-04-00-08,1
2024-01-24-04-39-41,0
2024-01-24-05-00-13,1
2024-01-24-23-33-43,0
2024-01-25-00-21-15,1
2024-01-25-00-37-09,0
2024-01-25-04-02-11,1
2024-01-25-22-11-10,0
2024-01-26-05-00-09,1
2024-01-26-23-00-06,0
2024-01-27-14-00-09,1
2024-01-28-01-00-05,0
2024-01-28-01-13-35,1
2024-01-28-02-08-10,0
2024-01-28-10-01-07,1
2024-01-28-16-45-11,0
2024-01-28-16-46-43,1
2024-01-28-16-48-35,0
2024-01-28-17-04-10,1
2024-01-28-17-29-44,0
2024-01-28-17-38-42,1
2024-01-28-18-07-39,0
2024-01-28-18-42-07,1
2024-01-28-18-43-36,0
2024-01-28-20-00-10,1
2024-01-29-23-00-13,0
2024-01-30-05-00-04,1
2024-01-30-20-20-07,0
2024-01-30-21-20-35,1
2024-01-30-23-00-13,0
2024-01-31-05-00-03,1
2024-02-01-02-02-13,0
2024-02-01-05-00-03,1
2024-02-01-21-29-43,0
2024-02-01-23-56-06,1
2024-02-02-01-00-12,0
2024-02-02-05-00-05,1
2024-02-02-05-54-08,0
2024-02-02-07-00-08,1
2024-02-02-23-00-06,0
2024-02-03-11-00-08,1
2024-02-03-12-16-38,0
2024-02-03-14-00-09,1
2024-02-03-19-23-05,0
2024-02-03-23-59-36,1
2024-02-04-01-37-12,0
2024-02-04-01-37-38,1
2024-02-04-01-40-39,0
2024-02-04-07-05-08,1
2024-02-04-08-48-42,0
2024-02-04-08-49-07,1
2024-02-04-08-50-09,0
2024-02-04-08-51-11,1
2024-02-04-08-52-35,0
2024-02-04-10-00-13,1
2024-02-04-10-39-33,0
2024-02-04-12-42-37,1
2024-02-04-13-39-10,0
2024-02-04-14-00-04,1
2024-02-04-18-28-12,0
2024-02-04-22-37-36,1
2024-02-04-23-55-11,0
2024-02-04-23-55-36,1
2024-02-04-23-56-12,0
2024-02-04-23-57-39,1
2024-02-04-23-59-05,0
2024-02-05-02-00-12,1
2024-02-05-03-33-40,0
2024-02-05-04-00-10,1
2024-02-05-23-00-12,0
2024-02-06-05-00-06,1
2024-02-06-11-45-04,0
2024-02-06-12-16-41,1
2024-02-06-12-58-39,0
2024-02-06-14-30-06,1
2024-02-06-18-56-13,0
2024-02-06-20-02-38,1
2024-02-06-20-46-13,0
2024-02-06-20-46-38,1
2024-02-06-20-49-09,0
2024-02-07-05-00-10,1
2024-02-07-20-00-08,0
2024-02-08-06-00-10,1
2024-02-08-18-00-08,0
2024-02-09-07-59-11,1
2024-02-09-19-00-07,0
2024-02-11-14-00-13,1
2024-02-11-16-13-11,0
2024-02-11-20-01-11,1
2024-02-11-20-53-37,0
2024-02-12-04-00-06,1
2024-02-12-23-00-03,0
2024-02-13-08-00-06,1
2024-02-13-19-00-04,0
2024-02-14-06-00-10,1
2024-02-14-20-00-04,0
2024-02-15-06-00-09,1
2024-02-15-19-00-15,0
2024-02-16-08-00-06,1
2024-02-16-23-00-05,0
2024-02-17-14-00-06,1
2024-02-17-17-55-41,0
2024-02-18-14-36-43,1
2024-02-18-18-48-09,0
2024-02-19-04-00-03,1
2024-02-19-10-29-39,1
2024-02-19-23-00-04,0
2024-02-20-05-00-14,1
2024-02-20-15-52-44,1
2024-02-20-16-18-12,1
2024-02-20-19-07-37,1
2024-02-20-19-31-03,0
2024-02-21-07-00-10,1
2024-02-21-20-00-04,0
2024-02-22-06-00-07,1
2024-02-22-06-18-15,1
2024-02-22-19-00-08,0
2024-02-23-08-00-05,1
2024-02-23-23-00-03,0
2024-02-25-14-00-07,1
2024-02-25-16-58-11,0
2024-02-25-16-58-36,1
2024-02-25-17-01-32,0
2024-02-26-10-43-46,1
2024-02-26-11-02-44,1
2024-02-26-23-00-05,0
2024-02-27-07-00-08,1
2024-02-27-15-06-38,1
2024-02-27-19-00-07,0
2024-02-28-07-00-11,1
2024-02-28-14-31-42,0
2024-02-28-17-37-37,1
2024-02-28-19-00-13,0
2024-02-29-08-00-13,1
2024-02-29-12-45-11,0
2024-02-29-12-55-03,1
2024-02-29-13-30-12,0
2024-02-29-16-15-04,1
2024-02-29-19-00-05,0
2024-03-01-09-27-07,1
2024-03-01-23-00-09,0
2024-03-05-12-50-45,1
2024-03-05-13-00-13,0
2024-03-05-15-00-13,1
2024-03-05-19-00-06,0
2024-03-06-06-00-07,1
2024-03-06-09-31-45,1
2024-03-06-16-12-08,0
2024-03-06-20-57-34,1
2024-03-06-21-00-05,0
2024-03-07-06-00-06,1
2024-03-07-09-11-39,0
2024-03-07-09-13-05,1
2024-03-07-09-15-06,0
2024-03-07-09-49-38,1
2024-03-07-12-47-40,0
2024-03-07-12-48-06,1
2024-03-07-12-48-43,0
2024-03-07-12-49-08,1
2024-03-07-12-51-38,0
2024-03-07-13-17-41,1
2024-03-07-14-07-09,0
2024-03-07-14-07-35,1
2024-03-07-14-08-14,0
2024-03-07-14-08-39,1
2024-03-07-14-09-40,0
2024-03-07-14-10-42,1
2024-03-07-14-11-07,0
2024-03-07-14-11-33,1
2024-03-07-14-13-35,0
2024-03-07-15-04-07,1
2024-03-07-16-39-42,1
2024-03-07-18-00-07,0
2024-03-07-23-02-39,1
2024-03-08-00-01-39,0
2024-03-08-00-02-04,1
2024-03-08-00-04-41,0
2024-03-08-08-00-09,1
2024-03-08-08-51-40,0
2024-03-08-09-00-07,1
2024-03-08-14-34-17,1
2024-03-08-19-03-15,1
2024-03-08-19-09-09,0
2024-03-09-15-43-03,1
2024-03-09-16-10-10,0
2024-03-09-16-10-35,1
2024-03-09-16-11-12,0
2024-03-11-09-53-46,1
2024-03-11-13-55-08,1
2024-03-11-17-38-06,0
2024-03-11-18-00-13,1
2024-03-11-23-00-12,0
2024-03-12-13-11-45,1
2024-03-12-14-06-09,1
2024-03-12-15-46-09,1
2024-03-12-17-33-40,0
2024-03-12-19-25-15,1
2024-03-12-19-57-46,1
