time,command
2023-11-10-17-38-01,0
2023-11-10-17-41-31,1
2023-11-10-17-42-01,0
2023-11-10-17-45-01,1
2023-11-10-17-47-01,0
2023-11-11-14-01-00,1
2023-11-11-18-29-00,0
2023-11-11-20-00-01,1
2023-11-11-20-04-31,1
2023-11-11-20-06-31,1
2023-11-11-20-16-02,1
2023-11-11-20-20-02,0
2023-11-12-20-50-01,1
2023-11-12-21-23-00,0
2023-11-13-06-00-01,1
2023-11-13-10-09-31,0
2023-11-13-10-18-03,1
2023-11-13-10-22-03,1
2023-11-13-10-23-33,1
2023-11-13-11-43-33,1
2023-11-13-13-17-34,1
2023-11-13-13-20-03,1
2023-11-13-13-31-32,1
2023-11-13-13-32-30,1
2023-11-13-13-38-03,1
2023-11-13-13-40-33,1
2023-11-13-13-43-33,1
2023-11-13-23-00-01,0
2023-11-14-07-00-01,6
2023-11-14-07-00-30,6
2023-11-14-07-01-00,6
2023-11-14-07-01-31,6
2023-11-14-07-02-00,6
2023-11-14-07-02-31,6
2023-11-14-07-03-00,6
2023-11-14-07-03-31,6
2023-11-14-07-04-00,6
2023-11-14-07-04-30,6
2023-11-14-07-05-01,6
2023-11-14-07-05-30,6
2023-11-14-07-06-01,6
2023-11-14-07-06-30,6
2023-11-14-07-07-00,4
2023-11-14-07-07-31,4
2023-11-14-07-08-00,4
2023-11-14-07-08-30,4
2023-11-14-07-09-01,4
2023-11-14-07-09-30,4
2023-11-14-07-10-01,4
2023-11-14-07-10-30,4
2023-11-14-07-11-01,4
2023-11-14-07-11-30,4
2023-11-14-07-12-01,6
2023-11-14-07-12-31,6
2023-11-14-07-13-00,6
2023-11-14-07-13-30,6
2023-11-14-07-14-01,6
2023-11-14-07-14-30,6
2023-11-14-07-15-01,6
2023-11-14-07-15-31,6
2023-11-14-07-16-00,6
2023-11-14-07-16-31,6
2023-11-14-07-17-00,6
2023-11-14-07-17-30,6
2023-11-14-07-18-01,6
2023-11-14-07-18-30,6
2023-11-14-07-19-01,6
2023-11-14-07-19-31,6
2023-11-14-07-20-00,6
2023-11-14-07-20-31,6
2023-11-14-07-21-00,6
2023-11-14-07-21-30,6
2023-11-14-07-22-01,6
2023-11-14-07-22-30,6
2023-11-14-07-23-01,6
2023-11-14-07-23-30,6
2023-11-14-07-24-00,6
2023-11-14-07-24-31,6
2023-11-14-07-25-00,6
2023-11-14-07-25-31,6
2023-11-14-07-26-00,6
2023-11-14-07-26-31,6
2023-11-14-07-27-00,6
2023-11-14-07-27-31,6
2023-11-14-07-28-00,6
2023-11-14-07-28-31,6
2023-11-14-07-29-00,6
2023-11-14-07-29-31,6
2023-11-14-07-30-00,6
2023-11-14-07-30-30,6
2023-11-14-07-31-01,6
2023-11-14-07-31-30,6
2023-11-14-07-32-00,6
2023-11-14-07-32-31,6
2023-11-14-07-33-00,6
2023-11-14-07-33-31,6
2023-11-14-07-34-01,6
2023-11-14-07-34-30,6
2023-11-14-07-35-01,6
2023-11-14-07-35-30,6
2023-11-14-07-36-00,6
2023-11-14-07-36-31,6
2023-11-14-07-37-00,6
2023-11-14-07-37-31,6
2023-11-14-07-38-00,6
2023-11-14-07-38-31,6
2023-11-14-07-39-00,6
2023-11-14-07-39-30,6
2023-11-14-07-40-01,6
2023-11-14-07-40-30,6
2023-11-14-07-41-01,6
2023-11-14-07-41-30,6
2023-11-14-07-42-01,6
2023-11-14-07-42-30,6
2023-11-14-07-43-06,6
2023-11-14-07-43-30,6
2023-11-14-07-44-01,6
2023-11-14-07-44-30,6
2023-11-14-07-45-00,6
2023-11-14-07-45-30,6
2023-11-14-07-46-00,6
2023-11-14-07-46-31,6
2023-11-14-07-47-00,6
2023-11-14-07-47-31,6
2023-11-14-07-48-00,6
2023-11-14-07-48-30,6
2023-11-14-07-49-00,6
2023-11-14-07-49-30,6
2023-11-14-07-50-00,6
2023-11-14-07-50-30,6
2023-11-14-07-51-00,6
2023-11-14-07-51-30,6
2023-11-14-07-52-01,6
2023-11-14-07-52-30,6
2023-11-14-07-53-00,6
2023-11-14-07-53-30,6
2023-11-14-07-54-00,6
2023-11-14-07-54-31,6
2023-11-14-07-55-00,6
2023-11-14-07-55-31,6
2023-11-14-07-56-00,6
2023-11-14-07-56-31,6
2023-11-14-07-57-00,6
2023-11-14-07-57-31,6
2023-11-14-07-58-00,6
2023-11-14-07-58-31,6
2023-11-14-07-59-01,6
2023-11-14-07-59-30,6
2023-11-14-08-00-01,6
2023-11-14-08-00-31,6
2023-11-14-08-01-01,6
2023-11-14-08-01-30,6
2023-11-14-08-02-00,6
2023-11-14-08-02-30,6
2023-11-14-08-03-01,6
2023-11-14-08-03-30,6
2023-11-14-08-04-00,6
2023-11-14-08-04-30,6
2023-11-14-08-05-01,6
2023-11-14-08-05-30,6
2023-11-14-08-06-01,6
2023-11-14-08-06-30,6
2023-11-14-08-07-01,6
2023-11-14-08-07-30,6
2023-11-14-08-08-00,6
2023-11-14-08-08-31,6
2023-11-14-08-09-00,6
2023-11-14-08-09-31,6
2023-11-14-08-10-00,6
2023-11-14-08-10-31,6
2023-11-14-08-11-00,6
2023-11-14-08-11-31,6
2023-11-14-08-12-00,6
2023-11-14-08-12-31,6
2023-11-14-08-13-00,6
2023-11-14-08-13-31,6
2023-11-14-08-14-01,6
2023-11-14-08-14-30,6
2023-11-14-08-15-01,6
2023-11-14-08-15-30,6
2023-11-14-08-16-01,6
2023-11-14-08-16-30,6
2023-11-14-08-17-01,6
2023-11-14-08-17-31,6
2023-11-14-08-18-00,6
2023-11-14-08-18-31,6
2023-11-14-08-19-00,6
2023-11-14-08-19-30,6
2023-11-14-08-20-01,6
2023-11-14-08-20-30,6
2023-11-14-08-21-00,6
2023-11-14-08-21-31,6
2023-11-14-08-22-01,4
2023-11-14-08-22-30,4
2023-11-14-08-23-00,4
2023-11-14-08-23-31,4
2023-11-14-08-24-00,4
2023-11-14-08-24-31,4
2023-11-14-08-25-00,4
2023-11-14-08-25-31,4
2023-11-14-08-26-01,4
2023-11-14-08-26-30,4
2023-11-14-08-27-01,4
2023-11-14-08-27-30,4
2023-11-14-08-28-00,4
2023-11-14-08-28-31,4
2023-11-14-08-29-00,4
2023-11-14-08-29-31,4
2023-11-14-08-30-00,4
2023-11-14-08-30-31,4
2023-11-14-08-31-00,4
2023-11-14-08-31-31,4
2023-11-14-08-32-01,4
2023-11-14-08-32-30,4
2023-11-14-08-33-01,4
2023-11-14-08-33-30,4
2023-11-14-08-34-01,4
2023-11-14-08-34-31,4
2023-11-14-08-35-00,4
2023-11-14-08-35-31,4
2023-11-14-08-36-00,4
2023-11-14-08-36-30,4
2023-11-14-08-37-00,4
2023-11-14-08-37-30,4
2023-11-14-08-38-01,4
2023-11-14-08-38-30,4
2023-11-14-08-39-01,4
2023-11-14-08-39-30,4
2023-11-14-08-40-01,4
2023-11-14-08-40-31,4
2023-11-14-08-41-00,4
2023-11-14-08-41-31,4
2023-11-14-08-42-00,4
2023-11-14-08-42-30,4
2023-11-14-08-43-01,4
2023-11-14-08-43-30,4
2023-11-14-08-44-01,4
2023-11-14-08-44-31,4
2023-11-14-08-45-00,4
2023-11-14-08-45-31,4
2023-11-14-08-46-00,4
