16,18,18,18,20,20,20
16,16,16,16,16,20,16
16,16,16,16,16,19,16
16,16,16,16,16,16,16
16,16,16,16,16,16,16
16,16,16,16,16,16,16
16,16,16,16,16,16,16
17,17,17,17,17,16,16
18,18,18,18,18,16,16
20,20,20,20,20,16,16
21,21,21,21,21,16,16
21,21,21,21,21,16,16
21,21,21,21,21,17,17
21,21,21,21,21,18,18
21,21,21,21,21,20,20
21,21,21,21,21,20,20
20,20,20,20,20,20,20
20,20,20,20,20,20,20
20,20,20,20,20,20,20
20,20,20,20,20,20,20
20,20,20,20,20,20,20
20,20,20,20,20,20,20
20,20,20,20,20,20,20
16,16,16,20,20,20,16
