07/12/2023 15:04:53,Lahmacun,07/12/2023,15,10,12
07/12/2023 15:44:25,Lahmacun,08/12/2023,0,10,12
08/12/2023 19:23:50,PK iroda,08/12/2023,19,3,19
13/12/2023 11:39:41,Mérce,13/12/2023,10,7,20
13/12/2023 19:45:19,ovi,13/12/2023,19,1,19
15/12/2023 16:09:10,vendégtér,15/12/2023,16,10,18
16/12/2023 12:18:25,kisterem,16/12/2023,12,5,21
16/12/2023 12:21:03,kisterem,16/12/2023,12,5,21
16/12/2023 12:44:22,Lahmacun,16/12/2023,20,4,21
16/12/2023 12:44:46,Lahmacun,17/12/2023,10,10,21
17/12/2023 00:44:09,vendégtér,17/12/2023,0,18,16
17/12/2023 08:35:41,Lahmacun,17/12/2023,8,5,20
17/12/2023 14:09:26,kisterem,17/12/2023,14,4,16
17/12/2023 18:48:44,Lahmacun,17/12/2023,18,4,20
18/12/2023 11:37:40,kisterem,18/12/2023,11,2,16
23/12/2023 09:11:27,Lahmacun,23/12/2023,18,5,21
23/12/2023 09:15:00,Gólyairoda,23/12/2023,9,22,12
23/12/2023 12:21:43,Gólyairoda,23/12/2023,12,12,12
23/12/2023 21:52:30,Lahmacun,23/12/2023,21,3,20
23/12/2023 21:52:50,Lahmacun,23/12/2023,21,3,19
23/12/2023 23:19:24,Lahmacun,23/12/2023,11,1,20
25/12/2023 20:35:32,kisterem,25/12/2023,21,3,16
25/12/2023 20:37:14,kisterem,25/12/2023,21,3,14
25/12/2023 20:39:24,vendégtér,25/12/2023,21,3,21
25/12/2023 23:02:38,vendégtér,25/12/2023,23,1,21
25/12/2023 23:03:30,vendégtér,26/12/2023,0,4,21
26/12/2023 01:32:03,vendégtér,26/12/2023,4,20,12
27/12/2023 08:51:08,kisterem,27/12/2023,8,5,14
29/12/2023 21:49:55,vendégtér,29/12/2023,21,3,18
30/12/2023 14:33:26,Lahmacun,30/12/2023,17,7,20
30/12/2023 14:33:44,Lahmacun,31/12/2023,17,7,20
30/12/2023 14:34:37,SZGK iroda,30/12/2023,0,24,12
30/12/2023 14:34:53,SZGK iroda,31/12/2023,0,24,12
30/12/2023 14:35:33,SZGK iroda,01/01/2024,0,24,12
30/12/2023 14:35:56,Gólyairoda,30/12/2023,0,24,12
30/12/2023 14:36:10,Gólyairoda,31/12/2023,0,24,12
30/12/2023 14:36:26,Gólyairoda,01/01/2024,0,24,12
30/12/2023 14:36:43,Mérce,30/12/2023,0,24,12
30/12/2023 14:36:59,Mérce,31/12/2023,0,24,12
30/12/2023 14:37:15,Mérce,01/01/2024,0,24,12
31/12/2023 15:47:24,Lahmacun,31/12/2023,15,10,20
31/12/2023 15:48:24,Lahmacun,31/12/2023,20,4,15
02/01/2024 14:24:56,Gólyairoda,02/01/2024,0,24,10
02/01/2024 14:25:12,Gólyairoda,03/01/2024,0,24,10
02/01/2024 14:25:28,Gólyairoda,04/01/2024,0,24,10
02/01/2024 14:25:52,Gólyairoda,05/01/2024,0,24,10
02/01/2024 14:26:11,Gólyairoda,06/01/2024,0,24,10
02/01/2024 14:46:44,PK iroda,02/01/2024,0,24,12
02/01/2024 14:47:06,ovi,02/01/2024,0,24,12
02/01/2024 14:47:52,SZGK iroda,02/01/2024,1,24,12
02/01/2024 14:48:34,Lahmacun,02/01/2024,0,24,12
02/01/2024 14:50:48,ovi,02/01/2024,0,24,12
02/01/2024 14:56:46,Oktopusz 1,02/01/2024,0,24,-1
02/01/2024 15:13:00,PK iroda,03/01/2024,0,24,12
02/01/2024 15:13:25,ovi,04/01/2024,0,24,12
02/01/2024 15:13:41,PK iroda,04/01/2024,0,24,12
02/01/2024 15:14:02,PK iroda,05/01/2024,0,17,12
02/01/2024 15:14:18,PK iroda,05/01/2024,17,4,21
02/01/2024 15:14:55,ovi,05/01/2024,0,24,12
03/01/2024 09:38:44,ovi,03/01/2024,0,24,12
03/01/2024 17:06:28,ovi,05/01/2024,14,3,21
03/01/2024 17:06:46,ovi,06/01/2024,9,10,21
