Timestamp,hová?,melyik napra?,hány órától?,mennyi időre? (órában),hány fok?
17/02/2025 16:45:00,Gólyairoda,17/02/2025,16,7,21
18/02/2025 11:54:03,vendégtér,18/02/2025,11,6,21
18/02/2025 19:22:12,vendégtér,18/02/2025,19,-1,21
19/02/2025 15:45:33,vendégtér,19/02/2025,15,2,21
19/02/2025 15:49:14,kisterem,19/02/2025,15,2,21
20/02/2025 16:32:40,kisterem,20/02/2025,16,1,21
20/02/2025 16:32:51,vendégtér,20/02/2025,16,1,21
24/02/2025 18:50:55,Oktopusz,24/02/2025,18,5,21
01/03/2025 15:10:46,SZGK,01/03/2025,15,9,21
01/03/2025 16:14:30,SZGK,01/03/2025,16,8,21
03/03/2025 20:05:49,Oktopusz,03/03/2025,20,4,21
04/03/2025 16:58:04,Oktopusz,04/03/2025,16,7,21
06/03/2025 16:14:28,Oktopusz,06/03/2025,16,8,21
06/03/2025 17:01:31,Oktopusz,06/03/2025,17,7,16
07/03/2025 10:03:02,Oktopusz,07/03/2025,10,14,21
10/03/2025 18:49:50,Oktopusz,10/03/2025,18,5,21
12/03/2025 14:23:40,Oktopusz,12/03/2025,14,10,21
13/03/2025 14:28:31,Oktopusz,13/03/2025,14,10,21
24/03/2025 13:09:35,PK,24/03/2025,13,11,21
24/03/2025 13:10:04,PK,24/03/2025,13,5,21
25/03/2025 20:17:41,Oktopusz,25/03/2025,20,4,21
26/03/2025 12:38:59,Mérce,26/03/2025,12,11,16
29/03/2025 16:05:44,Lahmacun,29/03/2025,16,2,21
30/03/2025 19:05:14,Lahmacun,30/03/2025,19,5,21
30/03/2025 19:07:42,Lahmacun,30/03/2025,19,5,21
30/03/2025 20:40:36,Lahmacun,30/03/2025,20,3,16
16/04/2025 09:07:37,SZGK,16/04/2025,9,15,16
16/04/2025 09:07:52,SZGK,16/04/2025,9,15,16
16/04/2025 10:45:28,SZGK,16/04/2025,10,13,16
17/04/2025 11:13:50,SZGK,17/04/2025,11,13,16
07/10/2025 15:03:31,Mérce,07/10/2025,15,3,21
14/10/2025 18:21:17,Oktopusz,14/10/2025,18,6,21
21/10/2025 14:02:03,kisterem,21/10/2025,14,4,21
21/10/2025 16:08:29,szoba neve,21/10/2025,16,2,21
23/10/2025 20:34:13,Gólyafészek,23/10/2025,20,3,16
10/11/2025 16:32:36,Gólyafészek,10/11/2025,16,7,21
14/11/2025 09:37:41,Gólyafészek,14/11/2025,9,8,21
14/11/2025 09:38:05,Gólyafészek,14/11/2025,9,8,21
15/11/2025 15:07:55,Gólyafészek,15/11/2025,15,9,21
22/11/2025 11:19:01,Mérce,22/11/2025,11,13,16
24/11/2025 16:18:42,Gólyafészek,24/11/2025,16,8,21
27/11/2025 20:27:52,Oktopusz,27/11/2025,20,4,16
28/11/2025 14:16:50,Gólyafészek,28/11/2025,14,10,21
07/12/2025 20:30:56,Oktopusz,07/12/2025,20,3,16
12/12/2025 22:18:55,Oktopusz,12/12/2025,22,2,16
13/12/2025 20:20:13,Oktopusz,13/12/2025,20,4,16
19/12/2025 11:19:49,Gólyafészek,19/12/2025,11,7,21
19/12/2025 13:49:07,Gólyafészek,19/12/2025,13,10,16
24/12/2025 15:15:44,Oktopusz,24/12/2025,15,9,16
29/12/2025 19:06:10,Gólyairoda,29/12/2025,19,5,21
04/01/2026 13:57:09,Gólyafészek,04/01/2026,13,10,21
05/01/2026 08:56:30,Gólyairoda,05/01/2026,8,9,21
08/01/2026 10:55:11,Mérce,08/01/2026,10,7,21
11/01/2026 15:12:52,Mérce,11/01/2026,15,9,16
12/01/2026 12:01:08,vendégtér,12/01/2026,12,6,21
19/01/2026 15:01:17,Oktopusz,19/01/2026,15,9,21
21/01/2026 13:59:13,Oktopusz,21/01/2026,13,10,21
26/01/2026 10:19:03,Gólyairoda,26/01/2026,10,8,21
28/01/2026 16:05:16,Oktopusz,28/01/2026,16,8,21
31/01/2026 03:17:35,Oktopusz,31/01/2026,3,15,21
03/02/2026 16:35:47,Oktopusz,03/02/2026,16,7,21
06/02/2026 21:35:50,Oktopusz,06/02/2026,21,2,21
07/02/2026 01:33:55,Oktopusz,07/02/2026,1,16,21
07/02/2026 08:52:54,PK,07/02/2026,8,9,21
12/02/2026 19:52:53,Oktopusz,12/02/2026,19,-2,21
12/02/2026 19:53:07,Oktopusz,12/02/2026,19,4,21
13/02/2026 14:59:38,Oktopusz,13/02/2026,14,9,21
14/02/2026 01:47:12,Oktopusz,14/02/2026,1,16,21
14/02/2026 17:53:09,Gólyafészek,14/02/2026,17,6,21
18/02/2026 15:33:59,Oktopusz,18/02/2026,15,8,21
