,Hétfő,Kedd,Szerda,Csütörtök,Péntek,Szombat,Vasárnap
0,14,14,14,14,14,14,14
1,14,14,14,14,14,14,14
2,14,14,14,14,14,14,14
3,14,14,14,14,14,14,14
4,16,16,16,16,16,14,14
5,16,16,16,16,16,16,16
6,18,18,18,18,18,16,16
7,19,19,19,19,19,16,16
8,20,20,20,20,20,16,16
9,20,20,20,20,20,16,16
10,20,20,20,20,20,16,16
11,20,20,20,20,20,16,16
12,20,20,20,20,20,16,16
13,20,20,20,20,20,16,16
14,20,20,20,20,20,16,16
15,20,20,20,20,20,16,16
16,20,20,20,20,20,16,16
17,20,20,20,20,20,16,16
18,20,20,20,20,20,16,16
19,16,18,16,16,16,16,16
20,16,16,16,16,16,16,16
21,16,16,16,16,16,16,16
22,14,16,16,16,16,16,16
23,14,14,14,14,14,14,14
