,Hétfő,Kedd,Szerda,Csütörtök,Péntek,Szombat,Vasárnap
0,16,16,16,16,16,16,16
1,16,16,16,16,16,16,16
2,16,16,16,16,16,16,16
3,18,16,16,16,16,16,16
4,19,16,16,16,16,16,16
5,19,18,18,18,18,16,16
6,20,19,19,19,19,16,16
7,20,20,20,20,20,16,16
8,21,21,21,21,21,16,16
9,21,20,20,20,20,16,16
10,21,21,21,21,21,16,16
11,21,21,21,21,21,16,16
12,21,21,21,21,21,16,16
13,21,21,21,21,21,16,16
14,21,21,21,21,21,16,16
15,21,21,21,21,21,16,16
16,21,21,21,21,21,16,16
17,21,21,21,21,21,16,16
18,20,20,20,20,21,16,16
19,16,16,16,16,21,16,16
20,16,16,16,16,21,16,16
21,16,16,16,16,21,16,16
22,16,16,16,16,21,16,16
23,16,16,16,16,16,16,16
