,Hétfő,Kedd,Szerda,Csütörtök,Péntek,Szombat,Vasárnap
0,16,18,18,18,20,20,20
1,16,16,16,16,16,20,16
2,16,16,16,16,16,19,16
3,16,16,16,16,16,16,16
4,16,16,16,16,16,16,16
5,16,16,16,16,16,16,16
6,16,16,16,16,16,16,16
7,17,17,17,17,17,16,16
8,18,18,18,18,18,16,16
9,20,20,20,20,20,16,16
10,21,21,21,21,21,16,16
11,21,21,21,21,21,16,16
12,21,21,21,21,21,17,17
13,21,21,21,21,21,18,18
14,21,21,21,21,21,20,20
15,21,21,21,21,21,20,20
16,20,20,20,20,20,20,20
17,20,20,20,20,20,20,20
18,20,20,20,20,20,20,20
19,20,20,20,20,20,20,20
20,20,20,20,20,20,20,20
21,20,20,20,20,20,20,20
22,20,20,20,20,20,20,20
23,16,16,16,20,20,20,16
