,Hétfő,Kedd,Szerda,Csütörtök,Péntek,Szombat,Vasárnap
0,16,16,16,16,16,16,16
1,16,16,16,16,16,16,16
2,16,16,16,16,16,16,16
3,18,16,16,16,16,16,16
4,19,18,18,18,16,16,16
5,20,19,19,19,16,16,16
6,20,20,20,20,16,16,16
7,20,20,20,20,16,16,16
8,20,20,20,20,16,16,16
9,20,20,20,20,16,16,16
10,20,20,20,20,16,16,16
11,20,20,20,20,16,16,16
12,20,20,20,20,16,16,16
13,19,19,19,19,16,16,16
14,20,20,20,20,16,16,16
15,20,20,20,20,16,16,16
16,20,20,20,20,16,16,16
17,16,20,20,16,16,16,16
18,16,20,20,16,16,16,16
19,16,16,20,16,16,16,16
20,16,16,20,16,16,16,16
21,16,16,16,16,16,16,16
22,16,16,16,16,16,16,16
23,16,16,16,16,16,16,16
