,Hétfő,Kedd,Szerda,Csütörtök,Péntek,Szombat,Vasárnap
0,13,13,13,13,13,13,13
1,14,13,13,13,13,13,13
2,15,13,13,13,13,13,13
3,15,13,13,13,13,13,13
4,15,14,14,14,14,13,13
5,15,15,15,15,15,13,13
6,16,16,16,16,16,13,13
7,17,17,17,17,17,13,13
8,18,18,18,18,18,13,13
9,19,19,19,19,19,13,13
10,20,20,20,20,20,14,14
11,20,20,20,20,20,15,15
12,20,20,20,20,20,15,15
13,20,20,20,20,20,15,15
14,20,20,20,20,20,15,15
15,20,20,20,20,20,15,15
16,20,20,20,20,20,15,15
17,20,20,20,20,20,15,15
18,19,19,19,19,19,15,15
19,16,16,16,16,16,14,14
20,16,16,16,16,16,13,13
21,16,16,16,16,16,13,13
22,15,15,15,15,15,13,13
23,14,14,14,14,14,13,13
